no,topik,subtopik,soal,jawaban,contoh,konteks,link_sumber,panjang_soal,panjang_jawaban,panjang_konteks,kata_soal,kata_jawaban,jenis_pertanyaan,kompleksitas
15,adaptasi makhluk hidup,adaptasi makhluk hidup,bagaimana kaktus memiliki daun berbentuk duri?,kaktus beradaptasi dengan daun yang mengecil menjadi duri supaya lebih hemat air.,kaktus tetap bisa hidup di gurun yang panas karena air disimpan di batangnya.,duri pada kaktus adalah adaptasi agar tumbuhan tetap bertahan di tempat kering.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,46,81,79,6,12,bagaimana,Mudah
16,adaptasi makhluk hidup,adaptasi makhluk hidup,mengapa hewan perlu beradaptasi?,"hewan perlu beradaptasi agar bisa bertahan hidup, mencari makan, dan melindungi diri.",unta bisa hidup di gurun karena tubuhnya memiliki penyesuaian khusus untuk lingkungan kering.,adaptasi membantu hewan menyesuaikan diri dengan kondisi tempat hidupnya.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,32,85,73,4,12,mengapa,Mudah
17,adaptasi makhluk hidup,adaptasi makhluk hidup,kenapa hewan perlu beradaptasi?,agar hewan mampu hidup sesuai lingkungannya dan tidak mudah mati.,unta bisa hidup di gurun karena tubuhnya memiliki penyesuaian khusus untuk lingkungan kering.,adaptasi membantu hewan menyesuaikan diri dengan kondisi tempat hidupnya.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,31,65,73,4,10,lainnya,Mudah
18,adaptasi makhluk hidup,adaptasi makhluk hidup,bagaimana hewan perlu beradaptasi?,"hewan beradaptasi dengan menyesuaikan bentuk tubuh, kebiasaan, atau cara hidupnya.",unta bisa hidup di gurun karena tubuhnya memiliki penyesuaian khusus untuk lingkungan kering.,adaptasi membantu hewan menyesuaikan diri dengan kondisi tempat hidupnya.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,34,82,73,4,10,bagaimana,Mudah
19,adaptasi makhluk hidup,adaptasi makhluk hidup,hewan dengan bentuk moncong panjang yang digunakan menyerap nektar bunga adalah.,kupu-kupu memiliki mulut seperti belalai panjang untuk mengisap nektar dari bunga.,moncong panjang masuk bunga dalam,adaptasi moncong untuk makanan,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/,80,82,30,11,11,lainnya,Kompleks
20,adaptasi makhluk hidup,adaptasi makhluk hidup,apa yang dimaksud dengan adaptasi?,adaptasi adalah proses penyesuaian diri makhluk hidup terhadap lingkungan tempat ia hidup.,kaktus mampu hidup di daerah kering karena memiliki ciri khusus.,adaptasi bertujuan mempertahankan hidup.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/,34,90,40,5,12,apa,Mudah
21,adaptasi makhluk hidup,adaptasi makhluk hidup,apa pengertian adaptasi?,adaptasi merupakan kemampuan makhluk hidup menyesuaikan diri agar dapat bertahan hidup.,kaktus mampu hidup di daerah kering karena memiliki ciri khusus.,adaptasi bertujuan mempertahankan hidup.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/,24,87,40,3,11,apa,Mudah
22,adaptasi makhluk hidup,adaptasi makhluk hidup,jelaskan adaptasi.,adaptasi adalah cara makhluk hidup menyesuaikan diri dengan lingkungan supaya bisa hidup lebih baik.,kaktus mampu hidup di daerah kering karena memiliki ciri khusus.,adaptasi bertujuan mempertahankan hidup.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/,18,100,40,2,14,jelaskan,Mudah
23,adaptasi makhluk hidup,adaptasi makhluk hidup,apa fungsi punuk pada unta?,punuk unta menyimpan cadangan lemak yang dapat digunakan saat makanan sulit ditemukan.,unta tetap kuat berjalan jauh di gurun meskipun jarang makan karena memiliki cadangan energi.,punuk adalah bentuk penyesuaian unta terhadap lingkungan yang kering dan panas.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,27,86,79,5,12,apa,Mudah
24,adaptasi makhluk hidup,adaptasi makhluk hidup,apa itu punuk pada unta?,punuk unta adalah tempat menyimpan lemak sebagai cadangan energi bagi tubuhnya.,unta tetap kuat berjalan jauh di gurun meskipun jarang makan karena memiliki cadangan energi.,punuk adalah bentuk penyesuaian unta terhadap lingkungan yang kering dan panas.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,24,79,79,5,11,apa,Mudah
25,adaptasi makhluk hidup,adaptasi makhluk hidup,apa yang dimaksud dengan punuk pada unta?,punuk unta merupakan bagian tubuh yang menyimpan lemak untuk membantu unta bertahan hidup.,unta tetap kuat berjalan jauh di gurun meskipun jarang makan karena memiliki cadangan energi.,punuk adalah bentuk penyesuaian unta terhadap lingkungan yang kering dan panas.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,41,90,79,7,13,apa,Sedang
26,adaptasi makhluk hidup,adaptasi makhluk hidup,tumbuhan yang memiliki adaptasi untuk meminimalkan kehilangan air bernama.,kaktus adalah tumbuhan yang memiliki adaptasi untuk menghemat air di lingkungan kering.,daun xerofita kecil dan tebal,xerofita hemat air,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/,74,87,18,9,12,lainnya,Sedang
27,adaptasi makhluk hidup,adaptasi makhluk hidup,kemampuan yang memungkinkan makhluk hidup bertahan di habitat alami mereka adalah.,adaptasi adalah kemampuan yang membantu makhluk hidup bertahan hidup di habitatnya.,makhluk hidup beradaptasi atau punah,adaptasi terjadi dalam populasi,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/,82,83,31,11,11,lainnya,Kompleks
28,adaptasi makhluk hidup,adaptasi makhluk hidup,adaptasi yang mencakup perubahan bentuk paruh warna kulit dan bentuk kuku bernama.,"adaptasi morfologi mencakup perubahan bentuk paruh, warna tubuh, atau bentuk kaki dan kuku.",paruh berbeda-beda pada berbagai burung,adaptasi morfologi relevan dengan lingkungan,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/,82,91,44,12,13,lainnya,Kompleks
29,adaptasi makhluk hidup,adaptasi makhluk hidup,tumbuhan yang tumbuh di tempat selalu basah adalah.,hidrofit adalah tumbuhan yang hidup di tempat sangat basah atau di air.,teratai adalah higrofita,higrofita penuh air,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/,51,71,19,8,12,lainnya,Sedang
30,adaptasi makhluk hidup,adaptasi makhluk hidup,tumbuhan rawa dan air yang memiliki banyak stomata dan daun lebar bernama.,hidrofit adalah tumbuhan rawa atau air yang umumnya memiliki daun lebar dan banyak stomata.,keladi adalah higrofita,higrofita tumbuh di rawa,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/,74,91,24,12,14,lainnya,Kompleks
31,adaptasi makhluk hidup,adaptasi makhluk hidup,tumbuhan yang tumbuh di tempat sedang dengan curah hujan normal adalah.,mesofit adalah tumbuhan yang hidup di tempat dengan air cukup dan curah hujan sedang.,pohon mangga adalah mesofita,mesofita di iklim sedang,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/,71,85,24,11,14,lainnya,Kompleks
32,adaptasi makhluk hidup,adaptasi makhluk hidup,tumbuhan yang tumbuh di tempat kering dengan curah hujan rendah adalah.,xerofit adalah tumbuhan yang hidup di daerah kering dan mampu menghemat air.,kaktus adalah xerofita,xerofita tahan kekeringan ekstrem,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/,71,76,33,11,12,lainnya,Kompleks
33,adaptasi makhluk hidup,adaptasi makhluk hidup,proses penyesuaian diri makhluk hidup terhadap kondisi lingkungan bernama.,adaptasi adalah proses penyesuaian makhluk hidup terhadap kondisi lingkungan di sekitarnya.,adaptasi melalui seleksi alam,adaptasi adalah kunci kelangsungan hidup,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/,74,91,40,9,11,lainnya,Sedang
34,adaptasi makhluk hidup,adaptasi makhluk hidup,penyesuaian fungsi biologis seperti produksi racun dan sistem sirkulasi khusus bernama.,adaptasi fisiologis adalah penyesuaian fungsi tubuh bagian dalam makhluk hidup.,ular berbisa memiliki adaptasi fisiologi,adaptasi fisiologi meningkatkan efisiensi,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/,87,79,41,11,10,lainnya,Kompleks
35,adaptasi makhluk hidup,adaptasi makhluk hidup,penyesuaian cara berperilaku hewan seperti migrasi hibernasi dan berburu bernama.,adaptasi tingkah laku adalah perubahan perilaku hewan untuk menyesuaikan diri dengan lingkungan.,burung bermigrasi mencari makanan,adaptasi perilaku belajar dan insting,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/,81,96,37,10,12,lainnya,Sedang
36,adaptasi makhluk hidup,adaptasi makhluk hidup,cara adaptasi hewan mempertahankan diri dengan menyamarkan diri di lingkungan bernama.,kamuflase adalah cara hewan menyamarkan diri agar sulit dilihat musuh.,harimau bergaris-garis untuk kamuflase,kamuflase adalah strategi bertahan,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/,86,70,34,11,10,lainnya,Kompleks
37,adaptasi makhluk hidup,adaptasi fisik,apa itu adaptasi fisik hewan terhadap lingkungan?,adaptasi fisik adalah penyesuaian bentuk tubuh hewan agar cocok dengan tempat hidupnya.,kamu pasti pernah lihat: setiap hewan berkembang berbeda sesuai lingkungannya.,penting: adaptasi menunjukkan keajaiban proses evolusi.,https://www.omahbse.com/ktsp/file/sd-5_ipa_012/,49,87,55,7,12,apa,Sedang
38,adaptasi makhluk hidup,adaptasi fisik,bisa jelaskan tentang adaptasi fisik hewan terhadap lingkungan?,adaptasi fisik hewan adalah perubahan pada bentuk tubuh yang membantu hewan hidup di lingkungannya.,setiap hewan berkembang berbeda sesuai lingkungannya.,adaptasi menunjukkan keajaiban proses evolusi.,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/,63,99,46,8,14,lainnya,Sedang
39,adaptasi makhluk hidup,adaptasi fisik,berikan contoh adaptasi fisik hewan terhadap lingkungan!,contohnya bebek berkaki berselaput untuk berenang dan elang memiliki paruh tajam untuk mencabik daging.,setiap hewan berkembang berbeda sesuai lingkungannya.,adaptasi menunjukkan keajaiban proses evolusi.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,56,103,46,7,14,lainnya,Sedang
40,adaptasi makhluk hidup,adaptasi fisik,jelaskan hewan terhadap lingkungan!,"hewan menyesuaikan diri dengan lingkungan melalui bentuk tubuh, perilaku, dan fungsi organ.","misalnya, setiap hewan berkembang berbeda sesuai lingkungannya.","ingat ya, adaptasi menunjukkan keajaiban proses evolusi.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,35,91,56,4,12,jelaskan,Mudah
41,adaptasi makhluk hidup,penyesuaian diri hewan terhadap lingkungannya,apa fungsi adaptasi hewan dalam penyesuaian diri hewan?,"adaptasi membantu hewan bertahan hidup, mencari makan, dan menghindari bahaya.","unta memiliki punuk untuk menyimpan air, telapak kaki lebar untuk berjalan di pasir.",adaptasi adalah hasil dari seleksi alam dalam waktu panjang.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/,55,78,60,8,10,apa,Sedang
42,adaptasi makhluk hidup,penyesuaian diri hewan terhadap lingkungannya,apa fungsi penyesuaian diri hewan?,penyesuaian diri membantu hewan hidup lebih baik di lingkungan tempat tinggalnya.,"kamu pasti pernah lihat: unta memiliki punuk untuk menyimpan air, telapak kaki lebar untuk berjalan di pasir.",penting: adaptasi adalah hasil dari seleksi alam dalam waktu panjang.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/,34,81,69,5,11,apa,Mudah
43,adaptasi makhluk hidup,penyesuaian diri hewan terhadap lingkungannya,kenapa adaptasi hewan itu penting?,karena adaptasi membuat hewan mampu bertahan hidup di tempat yang berbeda-beda.,"unta memiliki punuk untuk menyimpan air, telapak kaki lebar untuk berjalan di pasir.",memahami peran adaptasi hewan membantu kita mengerti penyesuaian diri hewan,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,34,79,75,5,11,lainnya,Mudah
44,adaptasi makhluk hidup,penyesuaian diri hewan terhadap lingkungannya,sebutkan adaptasi hewan dalam penyesuaian diri hewan!,"adaptasi hewan misalnya bentuk paruh, bentuk kaki, warna tubuh, dan kebiasaan hidup.","unta memiliki punuk untuk menyimpan air, telapak kaki lebar untuk berjalan di pasir.",adaptasi adalah hasil dari seleksi alam dalam waktu panjang.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/,53,84,60,7,12,sebutkan,Sedang
45,adaptasi makhluk hidup,penyesuaian diri hewan terhadap lingkungannya,jelaskan karakteristik adaptasi hewan dalam penyesuaian diri hewan!,"ciri adaptasi hewan terlihat pada bentuk tubuh, perilaku, dan cara hidup yang sesuai lingkungan.","unta memiliki punuk untuk menyimpan air, telapak kaki lebar untuk berjalan di pasir.",adaptasi adalah hasil dari seleksi alam dalam waktu panjang.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,67,96,60,8,14,jelaskan,Sedang
46,adaptasi makhluk hidup,penyesuaian diri hewan terhadap lingkungannya,jelaskan tentang adaptasi hewan dalam penyesuaian diri hewan!,"hewan menyesuaikan diri dengan lingkungannya lewat bentuk tubuh, perilaku, dan fungsi organ.",adaptasi hewan adalah bagian penting dari penyesuaian diri hewan.,adaptasi adalah hasil dari seleksi alam dalam waktu panjang.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,61,92,60,8,12,jelaskan,Sedang
47,peredaran darah,golongan darah abo dan sistem rh,mengapa kita perlu tahu golongan darah kita?,"agar saat diperlukan transfusi darah, dokter bisa memberikan darah yang cocok dan aman.","ada orang yang punya golongan darah a, b, ab, atau o",pengetahuan penting untuk membantu medis saat darurat,https://www.omahbse.com/ktsp/file/sd-5_ipa_012/,44,87,53,7,13,mengapa,Sedang
48,peredaran darah,golongan darah abo dan sistem rh,kenapa kita perlu tahu golongan darah kita?,"mengetahui golongan darah penting supaya penanganan medis, terutama transfusi, bisa dilakukan dengan tepat.","contoh lainnya, ada orang yang punya golongan darah a, b, ab, atau o","dalam kehidupan sehari-hari, pengetahuan penting untuk membantu medis saat darurat",https://www.omahbse.com/ktsp/file/sd-5_ipa_012/,43,107,82,7,13,lainnya,Sedang
49,peredaran darah,golongan darah abo dan sistem rh,apa itu kita perlu tahu golongan darah kita?,kita perlu tahu golongan darah agar tidak salah saat menerima transfusi darah.,"dalam situasi berbeda, ada orang yang punya golongan darah a, b, ab, atau o","untuk lebih memahami, pengetahuan penting untuk membantu medis saat darurat",https://www.omahbse.com/ktsp/file/sd-5_ipa_012/,44,78,75,8,12,apa,Sedang
50,peristiwa alam,gempa bumi,kenapa sering gempa di indonesia sih?,karena indonesia berada di pertemuan lempeng bumi yang sering bergerak dan menimbulkan gempa.,"sumatra itu paling sering gempa. jawa juga sering. kalau gempa besar, yang parah di aceh dan lombok beberapa tahun lalu.","jangan panik kalau gempa. cari tempat aman, jangan pakai lift. sudah ada sistem early warning sekarang.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,37,93,103,6,13,lainnya,Mudah
51,peristiwa alam,gempa bumi,apa itu gempa bumi?,gempa bumi adalah getaran atau guncangan pada permukaan bumi akibat pergeseran lempeng atau aktivitas gunung api.,"gelombang p tiba duluan, diikuti gelombang s, perbedaan waktu tiba dapat digunakan untuk menentukan jarak episentrum.",kerusakan terbesar biasanya disebabkan oleh gelombang permukaan yang merambat lebih lambat tetapi membawa energi lebih besar.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,19,113,125,4,16,apa,Mudah
52,peristiwa alam,gempa bumi,bisa jelaskan tentang gempa bumi?,gempa bumi merupakan getaran di permukaan bumi yang terjadi karena energi dari dalam bumi dilepaskan.,"kamu pasti pernah lihat: gelombang p tiba duluan, diikuti gelombang s, perbedaan waktu tiba dapat digunakan untuk menentukan jarak episentrum.",penting: kerusakan terbesar biasanya disebabkan oleh gelombang permukaan yang merambat lebih lambat tetapi membawa energi lebih besar.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,33,101,134,5,15,lainnya,Mudah
53,peristiwa alam,gempa bumi,apa itu dengan gempa bumi?,gempa bumi adalah getaran atau guncangan pada permukaan bumi yang disebabkan oleh pergerakan lempeng.,gempa bumi diukur dengan skala richter berdasarkan magnitudo atau kekuatan energi yang dilepaskan.,gempa bumi dapat terjadi kapan saja dan dampaknya bisa sangat berbahaya bagi kehidupan manusia.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/,26,101,95,5,14,apa,Mudah
54,peristiwa alam,gempa bumi,jelaskan apa yang dimaksud dengan gempa bumi!,"gempa bumi adalah guncangan pada permukaan bumi akibat pergeseran lempeng, letusan gunung api, atau runtuhan.",gempa bumi diukur dengan skala richter berdasarkan magnitudo atau kekuatan energi yang dilepaskan.,gempa bumi dapat terjadi kapan saja dan dampaknya bisa sangat berbahaya bagi kehidupan manusia.,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/,45,109,95,7,15,jelaskan,Sedang
55,peristiwa alam,gempa bumi,bisa jelaskan tentang dengan gempa bumi?,gempa bumi adalah getaran di permukaan bumi yang timbul karena pergerakan lapisan bumi.,kamu pasti pernah lihat: gempa bumi diukur dengan skala richter berdasarkan magnitudo atau kekuatan energi yang dilepaskan.,penting: gempa bumi dapat terjadi kapan saja dan dampaknya bisa sangat berbahaya bagi kehidupan manusia.,https://www.omahbse.com/ktsp/file/sd-5_ipa_006/,40,87,104,6,13,lainnya,Mudah
56,peristiwa alam,gempa bumi,apa yang kamu tahu tentang gempa bumi?,"gempa bumi adalah getaran bumi yang bisa terjadi karena lempeng bergerak, gunung api meletus, atau longsoran.",gempa bumi diukur menggunakan skala richter.,daerah perbatasan lempeng lebih rawan gempa bumi.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/,38,109,49,7,16,apa,Sedang
57,peristiwa alam,gempa bumi,coba ceritakan tentang gempa bumi.,gempa bumi terjadi ketika energi dari dalam bumi dilepaskan dan membuat permukaan bumi bergetar.,gempa bumi diukur menggunakan skala richter.,daerah perbatasan lempeng lebih rawan gempa bumi.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,34,96,49,5,14,lainnya,Mudah
58,peristiwa alam,gempa bumi,apa maksud dari gempa bumi?,gempa bumi berarti getaran atau guncangan tanah yang terjadi secara tiba-tiba.,kamu pasti pernah lihat: gempa bumi diukur menggunakan skala richter.,penting: daerah perbatasan lempeng lebih rawan gempa bumi.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,27,78,58,5,11,apa,Mudah
59,peristiwa alam,gempa bumi,jelaskan tentang gempa bumi.,gempa bumi adalah getaran di permukaan bumi akibat pergeseran lempeng atau aktivitas alam lain di dalam bumi.,kamu pasti pernah lihat: gempa bumi diukur menggunakan skala richter.,penting: daerah perbatasan lempeng lebih rawan gempa bumi.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,28,109,58,4,17,jelaskan,Mudah
60,peristiwa alam,gempa bumi,bagaimana penjelasan gempa bumi?,gempa bumi terjadi saat bumi mengalami pergeseran atau pelepasan energi dari dalam.,kamu pasti pernah lihat: gempa bumi adalah bagian penting dari gempa bumi.,penting: daerah perbatasan lempeng lebih rawan gempa bumi.,https://www.omahbse.com/ktsp/file/sd-5_ipa_012/,32,83,58,4,12,bagaimana,Mudah
61,peristiwa alam,gempa bumi,apa sebenarnya gempa bumi itu?,gempa bumi adalah guncangan pada bumi yang muncul secara tiba-tiba dan dapat dirasakan manusia.,gempa bumi adalah bagian penting dari gempa bumi.,daerah perbatasan lempeng lebih rawan gempa bumi.,https://www.omahbse.com/ktsp/file/sd-5_ipa_006/,30,95,49,5,14,apa,Mudah
62,peristiwa alam,gempa bumi,tolong jelaskan gempa bumi.,gempa bumi adalah getaran pada permukaan bumi yang terjadi karena perubahan di dalam bumi.,gempa bumi diukur menggunakan skala richter.,daerah perbatasan lempeng lebih rawan gempa bumi.,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/,27,90,49,4,14,lainnya,Mudah
63,peristiwa alam,gempa bumi,apa arti dari gempa bumi?,arti gempa bumi adalah getaran atau guncangan yang terjadi pada permukaan tanah.,kamu pasti pernah lihat: gempa bumi diukur menggunakan skala richter.,penting: daerah perbatasan lempeng lebih rawan gempa bumi.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,25,80,58,5,12,apa,Mudah
64,peristiwa alam,gempa bumi,kenapa gempa bumi itu penting?,memahami gempa bumi penting agar kita tahu cara bersiap dan melindungi diri saat terjadi bencana.,gempa bumi diukur menggunakan skala richter.,memahami peran gempa bumi membantu kita mengerti gempa bumi,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,30,97,59,5,15,lainnya,Mudah
65,peristiwa alam,gempa bumi,bagaimana menjelaskan gempa bumi?,gempa bumi adalah getaran permukaan bumi yang berasal dari aktivitas di dalam bumi.,gempa bumi diukur menggunakan skala richter.,memahami peran gempa bumi membantu kita mengerti gempa bumi,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/,33,83,59,4,13,bagaimana,Mudah
66,peristiwa alam,gempa bumi,apa itu gempa bumi sebenarnya?,gempa bumi adalah guncangan bumi yang muncul karena pergeseran lempeng atau aktivitas gunung api.,kamu pasti pernah lihat: gempa bumi diukur menggunakan skala richter.,penting: memahami peran gempa bumi membantu kita mengerti gempa bumi,https://www.omahbse.com/ktsp/file/sd-5_ipa_005/,30,97,68,5,14,apa,Mudah
67,peristiwa alam,gempa bumi,apa itu kekuatan gempa bumi?,kekuatan gempa bumi adalah besar kecilnya getaran yang dirasakan saat gempa terjadi.,"gempa bumi dengan magnitudo 2-3 hanya terasa sedikit, 5-6 dapat merusak bangunan, lebih dari 7 sangat destruktif.",skala richter didasarkan pada amplitudo gelombang seismik maksimal yang tercatat pada seismograf.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/,28,84,97,5,12,apa,Mudah
