no,topik,subtopik,soal,jawaban,contoh,konteks,link_sumber
11,adaptasi makhluk hidup,adaptasi makhluk hidup,bentuk adaptasi yang berkaitan dengan fungsi organ internal adalah.,adaptasi adalah kemampuan makhluk hidup untuk menyesuaikan diri dengan lingkungannya.,racun produksi adalah adaptasi,adaptasi fisiologi tidak terlihat,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/
12,adaptasi makhluk hidup,adaptasi makhluk hidup,penyesuaian fungsi biologis seperti produksi racun dan sistem sirkulasi khusus bernama.,adaptasi adalah proses penyesuaian diri makhluk hidup terhadap kondisi lingkungan.,ular berbisa memiliki adaptasi fisiologi,adaptasi fisiologi meningkatkan efisiensi,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/
13,adaptasi makhluk hidup,penyesuaian diri hewan terhadap lingkungannya,apa fungsi adaptasi hewan dalam penyesuaian diri hewan?,adaptasi hewan memiliki fungsi memaksimalkan peluang survival dan reproduksi.,"unta memiliki punuk untuk menyimpan air, telapak kaki lebar untuk berjalan di pasir.",adaptasi adalah hasil dari seleksi alam dalam waktu panjang.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
14,adaptasi makhluk hidup,penyesuaian diri hewan terhadap lingkungannya,jelaskan penyesuaian diri hewan!,"hewan memiliki adaptasi struktural, fisiologis, dan perilaku untuk bertahan hidup di lingkungannya.","misalnya, unta memiliki punuk untuk menyimpan air, telapak kaki lebar untuk berjalan di pasir.","ingat ya, adaptasi adalah hasil dari seleksi alam dalam waktu panjang.",https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
15,adaptasi makhluk hidup,penyesuaian diri hewan terhadap lingkungannya,apa fungsi penyesuaian diri hewan?,adaptasi hewan memiliki fungsi memaksimalkan peluang survival dan reproduksi.,"kamu pasti pernah lihat: unta memiliki punuk untuk menyimpan air, telapak kaki lebar untuk berjalan di pasir.",penting: adaptasi adalah hasil dari seleksi alam dalam waktu panjang.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
16,adaptasi makhluk hidup,penyesuaian diri hewan terhadap lingkungannya,apa kegunaan penyesuaian diri hewan?,selaput itu berfungsi untuk membantu bebek berenang di air saat mencari makan.,"unta memiliki punuk untuk menyimpan air, telapak kaki lebar untuk berjalan di pasir.",adaptasi adalah hasil dari seleksi alam dalam waktu panjang.,https://www.omahbse.com/ktsp/file/sd-5_ipa_006/
17,adaptasi makhluk hidup,penyesuaian diri hewan terhadap lingkungannya,kenapa adaptasi hewan itu penting?,adaptasi hewan memiliki fungsi memaksimalkan peluang survival dan reproduksi.,"unta memiliki punuk untuk menyimpan air, telapak kaki lebar untuk berjalan di pasir.",memahami peran adaptasi hewan membantu kita mengerti penyesuaian diri hewan,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
18,adaptasi makhluk hidup,penyesuaian diri hewan terhadap lingkungannya,apa itu penyesuaian diri hewan?,"hewan memiliki adaptasi struktural, fisiologis, dan perilaku untuk bertahan hidup di lingkungannya.","misalnya, unta memiliki punuk untuk menyimpan air, telapak kaki lebar untuk berjalan di pasir.","ingat ya, memahami peran adaptasi hewan membantu kita mengerti penyesuaian diri hewan.",https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
19,adaptasi makhluk hidup,penyesuaian diri hewan terhadap lingkungannya,untuk apa penyesuaian diri hewan?,selaput itu berfungsi untuk membantu bebek berenang di air saat mencari makan.,"unta memiliki punuk untuk menyimpan air, telapak kaki lebar untuk berjalan di pasir.",memahami peran adaptasi hewan membantu kita mengerti penyesuaian diri hewan,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
20,adaptasi makhluk hidup,penyesuaian diri hewan terhadap lingkungannya,apa tugas penyesuaian diri hewan?,selaput itu berfungsi untuk membantu bebek berenang di air saat mencari makan.,"kamu pasti pernah lihat: unta memiliki punuk untuk menyimpan air, telapak kaki lebar untuk berjalan di pasir.",penting: memahami peran adaptasi hewan membantu kita mengerti penyesuaian diri hewan,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
21,adaptasi makhluk hidup,adaptasi makhluk hidup,bentuk adaptasi yang berkaitan dengan bentuk tubuh dan struktur fisik adalah.,adaptasi adalah kemampuan makhluk hidup untuk menyesuaikan diri dengan lingkungannya.,warna kulit paruh kuku adalah adaptasi,adaptasi morfologi terlihat secara fisik,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/
22,adaptasi makhluk hidup,adaptasi makhluk hidup,adaptasi yang mencakup perubahan bentuk paruh warna kulit dan bentuk kuku bernama.,adaptasi adalah kemampuan yang memungkinkan makhluk hidup bertahan di habitat alami mereka.,paruh berbeda-beda pada berbagai burung,adaptasi morfologi relevan dengan lingkungan,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/
23,adaptasi makhluk hidup,adaptasi makhluk hidup,bentuk adaptasi yang berkaitan dengan perilaku dan kebiasaan hewan adalah.,adaptasi adalah kemampuan makhluk hidup untuk menyesuaikan diri dengan lingkungannya.,migrasi hibernasi berburu adalah adaptasi,adaptasi perilaku meningkatkan survival,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/
24,adaptasi makhluk hidup,adaptasi makhluk hidup,penyesuaian cara berperilaku hewan seperti migrasi hibernasi dan berburu bernama.,adaptasi adalah proses penyesuaian diri makhluk hidup terhadap kondisi lingkungan.,burung bermigrasi mencari makanan,adaptasi perilaku belajar dan insting,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/
25,peredaran darah,golongan darah abo dan sistem rh,mengapa kita perlu tahu golongan darah kita?,"agar saat butuh tambahan darah transfusi, darah yang diberikan cocok dengan tubuh kita.","ada orang yang punya golongan darah a, b, ab, atau o",pengetahuan penting untuk membantu medis saat darurat,https://www.omahbse.com/ktsp/file/sd-5_ipa_012/
26,peredaran darah,golongan darah abo dan sistem rh,kenapa kita perlu tahu golongan darah kita?,"agar saat butuh tambahan darah transfusi, darah yang diberikan cocok dengan tubuh kita.","contoh lainnya, ada orang yang punya golongan darah a, b, ab, atau o","dalam kehidupan sehari-hari, pengetahuan penting untuk membantu medis saat darurat",https://www.omahbse.com/ktsp/file/sd-5_ipa_012/
27,peredaran darah,golongan darah abo dan sistem rh,apa itu kita perlu tahu golongan darah kita?,"agar saat butuh tambahan darah transfusi, darah yang diberikan cocok dengan tubuh kita.","dalam situasi berbeda, ada orang yang punya golongan darah a, b, ab, atau o","untuk lebih memahami, pengetahuan penting untuk membantu medis saat darurat",https://www.omahbse.com/ktsp/file/sd-5_ipa_012/
28,peristiwa alam,gempa bumi,kenapa sering gempa di indonesia sih?,"ah, indonesia itu berada di zona yang rawan gempa. lempeng bumi terus bergeser. kalau energi sudah terbentuk, baam! gempa. indonesia punya beberapa lempeng yang saling dorong, makanya sering banget.","sumatra itu paling sering gempa. jawa juga sering. kalau gempa besar, yang parah di aceh dan lombok beberapa tahun lalu.","jangan panik kalau gempa. cari tempat aman, jangan pakai lift. sudah ada sistem early warning sekarang.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
29,tumbuhan hijau,proses fotosintesis,bahan baku fotosintesis yang diserap dari tanah adalah.,fotosintesis adalah proses yang dilakukan tumbuhan untuk membuat makanan sendiri.,air diangkut dari akar ke daun,air adalah pelarut dalam fotosintesis,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/
30,sumber daya alam dan kegunaannya,pembangunan jalan,apa yang dimaksud dengan air?,air adalah sumber daya alam yang sangat penting bagi kehidupan.,"air dipakai untuk minum, mandi, dan mengairi sawah.",air harus dijaga kebersihannya.,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/
31,alat pencernaan dan makanan,jenis-jenis makanan,jelaskan bagi tubuh manusia!,"air berfungsi sebagai pelarut nutrisi, medium reaksi kimia dalam tubuh, pengatur suhu, dan pembawa limbah metabolisme yang dibuang melalui keringat dan urin.","misalnya, manusia harus minum minimal 8 gelas air per hari untuk menjaga kesehatan.","ingat ya, dehidrasi dapat menyebabkan berbagai masalah kesehatan mulai dari sakit kepala hingga gagal ginjal.",https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
32,alat pencernaan dan makanan,jenis-jenis makanan,apa fungsi air bagi tubuh manusia?,"air berfungsi sebagai pelarut nutrisi, medium reaksi kimia dalam tubuh, pengatur suhu, dan pembawa limbah metabolisme yang dibuang melalui keringat dan urin.",manusia harus minum minimal 8 gelas air per hari untuk menjaga kesehatan.,dehidrasi dapat menyebabkan berbagai masalah kesehatan mulai dari sakit kepala hingga gagal ginjal.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
33,alat pencernaan dan makanan,jenis-jenis makanan,apa itu bagi tubuh manusia?,"air berfungsi sebagai pelarut nutrisi, medium reaksi kimia dalam tubuh, pengatur suhu, dan pembawa limbah metabolisme yang dibuang melalui keringat dan urin.",manusia harus minum minimal 8 gelas air per hari untuk menjaga kesehatan.,dehidrasi dapat menyebabkan berbagai masalah kesehatan mulai dari sakit kepala hingga gagal ginjal.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
34,alat pencernaan dan makanan,jenis-jenis makanan,apa fungsi bagi tubuh manusia?,"air berfungsi sebagai pelarut nutrisi, medium reaksi kimia dalam tubuh, pengatur suhu, dan pembawa limbah metabolisme yang dibuang melalui keringat dan urin.",kamu pasti pernah lihat: manusia harus minum minimal 8 gelas air per hari untuk menjaga kesehatan.,penting: dehidrasi dapat menyebabkan berbagai masalah kesehatan mulai dari sakit kepala hingga gagal ginjal.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
35,alat pencernaan dan makanan,nutrisi makanan,jelaskan air dalam tubuh!,"air berfungsi sebagai pelarut nutrisi, pengatur suhu tubuh, pembawa limbah metabolisme, dan medium reaksi kimia dalam tubuh.","misalnya, manusia harus minum minimal 8 gelas air per hari untuk kesehatan optimal.","ingat ya, dehidrasi dapat mengganggu berbagai fungsi tubuh termasuk konsentrasi dan energi.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
36,alat pencernaan dan makanan,nutrisi makanan,apa fungsi air dalam tubuh?,"air berfungsi sebagai pelarut nutrisi, pengatur suhu tubuh, pembawa limbah metabolisme, dan medium reaksi kimia dalam tubuh.",manusia harus minum minimal 8 gelas air per hari untuk kesehatan optimal.,dehidrasi dapat mengganggu berbagai fungsi tubuh termasuk konsentrasi dan energi.,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/
37,alat pencernaan dan makanan,nutrisi makanan,apa itu air dalam tubuh?,"air berfungsi sebagai pelarut nutrisi, pengatur suhu tubuh, pembawa limbah metabolisme, dan medium reaksi kimia dalam tubuh.",manusia harus minum minimal 8 gelas air per hari untuk kesehatan optimal.,dehidrasi dapat mengganggu berbagai fungsi tubuh termasuk konsentrasi dan energi.,https://www.omahbse.com/ktsp/file/sd-5_ipa_005/
38,alat pencernaan dan makanan,nutrisi makanan,apa kegunaan air dalam tubuh?,"air berfungsi sebagai pelarut nutrisi, pengatur suhu tubuh, pembawa limbah metabolisme, dan medium reaksi kimia dalam tubuh.",kamu pasti pernah lihat: manusia harus minum minimal 8 gelas air per hari untuk kesehatan optimal.,penting: dehidrasi dapat mengganggu berbagai fungsi tubuh termasuk konsentrasi dan energi.,https://www.omahbse.com/ktsp/file/sd-5_ipa_005/
39,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan kegunaan air?,air tanah adalah air yang tersimpan di bawah permukaan tanah.,kita memakai air saat menyiram tanaman.,air merupakan kebutuhan pokok manusia.,https://www.omahbse.com/ktsp/file/sd-5_ipa_006/
40,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan air bersih?,air tanah adalah air yang tersimpan di bawah permukaan tanah.,air untuk minum harus bersih dan jernih.,air bersih penting untuk kesehatan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_005/
41,benda dan sifatnya,pendinginan,apa contoh perubahan benda karena pendinginan?,air dapat membeku menjadi es.,air di freezer berubah menjadi es batu.,pendinginan menyebabkan partikel benda bergerak lebih lambat.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
42,benda dan sifatnya,pendinginan,sebutkan contoh perubahan benda karena pendinginan?,air dapat membeku menjadi es.,air di freezer berubah menjadi es batu.,pendinginan menyebabkan partikel benda bergerak lebih lambat.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
43,benda dan sifatnya,pendinginan,berikan contoh perubahan benda akibat pendinginan?,air dapat membeku menjadi es.,air di freezer berubah menjadi es batu.,pendinginan menyebabkan partikel benda bergerak lebih lambat.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
44,benda dan sifatnya,pendinginan,bagaimana contoh perubahan benda karena pendinginan?,air dapat membeku menjadi es.,air di freezer berubah menjadi es batu.,pendinginan menyebabkan partikel benda bergerak lebih lambat.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
45,benda dan sifatnya,pendinginan,apa itu contoh perubahan benda karena pendinginan?,air dapat membeku menjadi es.,air di freezer berubah menjadi es batu.,pendinginan menyebabkan partikel benda bergerak lebih lambat.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
46,benda dan sifatnya,pendinginan,kenapa contoh perubahan benda karena pendinginan itu penting?,air dapat membeku menjadi es.,air di freezer berubah menjadi es batu.,pendinginan menyebabkan partikel benda bergerak lebih lambat.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
47,bumi dan peristiwa alam,siklus air,mengapa air di bumi tidak habis-habis?,"air di bumi tidak habis karena selalu mengalami siklus air seperti penguapan, pengembunan, dan hujan.","air laut menguap saat panas, lalu menjadi awan dan turun kembali sebagai hujan.",siklus air menjaga persediaan air di bumi tetap berputar.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
48,bumi dan peristiwa alam,siklus air,apa sebabnya air di bumi tidak habis-habis?,"air di bumi tidak habis karena selalu mengalami siklus air seperti penguapan, pengembunan, dan hujan.","air laut menguap saat panas, lalu menjadi awan dan turun kembali sebagai hujan.",siklus air menjaga persediaan air di bumi tetap berputar.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
49,bumi dan peristiwa alam,siklus air,bagaimana air di bumi tidak habis-habis?,"air di bumi tidak habis karena selalu mengalami siklus air seperti penguapan, pengembunan, dan hujan.","air laut menguap saat panas, lalu menjadi awan dan turun kembali sebagai hujan.",siklus air menjaga persediaan air di bumi tetap berputar.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
50,bumi dan peristiwa alam,siklus air,apa alasan air di bumi tidak habis-habis.,"air di bumi tidak habis karena selalu mengalami siklus air seperti penguapan, pengembunan, dan hujan.","air laut menguap saat panas, lalu menjadi awan dan turun kembali sebagai hujan.",siklus air menjaga persediaan air di bumi tetap berputar.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
51,bumi dan peristiwa alam,siklus air,apa sebab air di bumi tidak habis-habis.,"air di bumi tidak habis karena selalu mengalami siklus air seperti penguapan, pengembunan, dan hujan.","air laut menguap saat panas, lalu menjadi awan dan turun kembali sebagai hujan.",siklus air menjaga persediaan air di bumi tetap berputar.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
52,bumi dan peristiwa alam,siklus air,apa penyebab air di bumi tidak habis-habis.,"air di bumi tidak habis karena selalu mengalami siklus air seperti penguapan, pengembunan, dan hujan.","air laut menguap saat panas, lalu menjadi awan dan turun kembali sebagai hujan.",siklus air menjaga persediaan air di bumi tetap berputar.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
53,bumi dan peristiwa alam,siklus air,apa itu air di bumi tidak habis-habis?,"air di bumi tidak habis karena selalu mengalami siklus air seperti penguapan, pengembunan, dan hujan.","air laut menguap saat panas, lalu menjadi awan dan turun kembali sebagai hujan.",siklus air menjaga persediaan air di bumi tetap berputar.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
54,bumi dan peristiwa alam,siklus air,coba ceritakan tentang air di bumi tidak habis-habis.,"air di bumi tidak habis karena selalu mengalami siklus air seperti penguapan, pengembunan, dan hujan.","air laut menguap saat panas, lalu menjadi awan dan turun kembali sebagai hujan.",siklus air menjaga persediaan air di bumi tetap berputar.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
55,bumi dan peristiwa alam,siklus air,mengapa air di bumi tidak habis-habis.,"air di bumi tidak habis karena selalu mengalami siklus air seperti penguapan, pengembunan, dan hujan.","air laut menguap saat panas, lalu menjadi awan dan turun kembali sebagai hujan.",siklus air menjaga persediaan air di bumi tetap berputar.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
56,bumi dan peristiwa alam,siklus air,dengan cara apa air di bumi tidak habis-habis.,"air di bumi tidak habis karena selalu mengalami siklus air seperti penguapan, pengembunan, dan hujan.","air laut menguap saat panas, lalu menjadi awan dan turun kembali sebagai hujan.",siklus air menjaga persediaan air di bumi tetap berputar.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
57,bumi dan peristiwa alam,siklus air,apa proses air di bumi tidak habis-habis.,"air di bumi tidak habis karena selalu mengalami siklus air seperti penguapan, pengembunan, dan hujan.","air laut menguap saat panas, lalu menjadi awan dan turun kembali sebagai hujan.",siklus air menjaga persediaan air di bumi tetap berputar.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
58,bumi dan peristiwa alam,siklus air,ceritakan proses air di bumi tidak habis-habis.,"air di bumi tidak habis karena selalu mengalami siklus air seperti penguapan, pengembunan, dan hujan.","air laut menguap saat panas, lalu menjadi awan dan turun kembali sebagai hujan.",siklus air menjaga persediaan air di bumi tetap berputar.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
59,bumi dan peristiwa alam,siklus air,mengapa hal itu bisa terjadi pada air di bumi tidak habis-habis?,"air di bumi tidak habis karena selalu mengalami siklus air seperti penguapan, pengembunan, dan hujan.","air laut menguap saat panas, lalu menjadi awan, turun sebagai hujan, dan akhirnya mengalir kembali ke sungai dan laut. siklus ini menjaga ketersediaan air di bumi agar tidak habis meskipun digunakan terus-menerus.","air di bumi terus berputar melalui penguapan, pengembunan, dan hujan. siklus ini menjaga ketersediaan air di bumi agar tetap dapat digunakan makhluk hidup.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
60,bumi dan peristiwa alam,siklus air,apa alasan air di bumi tidak habis-habis?,"air di bumi tidak habis karena selalu mengalami siklus air seperti penguapan, pengembunan, dan hujan.","air laut menguap saat panas, lalu menjadi awan, turun sebagai hujan, dan akhirnya mengalir kembali ke sungai dan laut. siklus ini menjaga ketersediaan air di bumi agar tidak habis meskipun digunakan terus-menerus.","air di bumi terus berputar melalui penguapan, pengembunan, dan hujan. siklus ini menjaga ketersediaan air di bumi agar tetap dapat digunakan makhluk hidup.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
61,bumi dan peristiwa alam,siklus air,kenapa air di bumi tidak habis-habis?,"air di bumi tidak habis karena selalu mengalami siklus air seperti penguapan, pengembunan, dan hujan.","air laut menguap saat panas, lalu menjadi awan, turun sebagai hujan, dan akhirnya mengalir kembali ke sungai dan laut. siklus ini menjaga ketersediaan air di bumi agar tidak habis meskipun digunakan terus-menerus.","air di bumi terus berputar melalui penguapan, pengembunan, dan hujan. siklus ini menjaga ketersediaan air di bumi agar tetap dapat digunakan makhluk hidup.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
62,bumi dan peristiwa alam,siklus air,bisa jelaskan tentang air di bumi tidak habis-habis?,"air di bumi tidak habis karena selalu mengalami siklus air seperti penguapan, pengembunan, dan hujan.","air laut menguap saat panas, lalu menjadi awan, turun sebagai hujan, dan akhirnya mengalir kembali ke sungai dan laut. siklus ini menjaga ketersediaan air di bumi agar tidak habis meskipun digunakan terus-menerus.","air di bumi terus berputar melalui penguapan, pengembunan, dan hujan. siklus ini menjaga ketersediaan air di bumi agar tetap dapat digunakan makhluk hidup.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
63,bumi dan peristiwa alam,siklus air,apa maksud dari air di bumi tidak habis-habis?,"air di bumi tidak habis karena selalu mengalami siklus air seperti penguapan, pengembunan, dan hujan.","air laut menguap saat panas, lalu menjadi awan, turun sebagai hujan, dan akhirnya mengalir kembali ke sungai dan laut. siklus ini menjaga ketersediaan air di bumi agar tidak habis meskipun digunakan terus-menerus.","air di bumi terus berputar melalui penguapan, pengembunan, dan hujan. siklus ini menjaga ketersediaan air di bumi agar tetap dapat digunakan makhluk hidup.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
64,bumi dan peristiwa alam,siklus air,jelaskan tentang air di bumi tidak habis-habis.,"air di bumi tidak habis karena selalu mengalami siklus air seperti penguapan, pengembunan, dan hujan.","air laut menguap saat panas, lalu menjadi awan, turun sebagai hujan, dan akhirnya mengalir kembali ke sungai dan laut. siklus ini menjaga ketersediaan air di bumi agar tidak habis meskipun digunakan terus-menerus.","air di bumi terus berputar melalui penguapan, pengembunan, dan hujan. siklus ini menjaga ketersediaan air di bumi agar tetap dapat digunakan makhluk hidup.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
65,bumi dan peristiwa alam,siklus air,bagaimana alasan air di bumi tidak habis-habis?,"air di bumi tidak habis karena selalu mengalami siklus air seperti penguapan, pengembunan, dan hujan.","air laut menguap saat panas, lalu menjadi awan, turun sebagai hujan, dan akhirnya mengalir kembali ke sungai dan laut. siklus ini menjaga ketersediaan air di bumi agar tidak habis meskipun digunakan terus-menerus.","air di bumi terus berputar melalui penguapan, pengembunan, dan hujan. siklus ini menjaga ketersediaan air di bumi agar tetap dapat digunakan makhluk hidup.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
66,bumi dan peristiwa alam,siklus air,apa itu alasan air di bumi tidak habis-habis?,"air di bumi tidak habis karena selalu mengalami siklus air seperti penguapan, pengembunan, dan hujan.","air laut menguap saat panas, lalu menjadi awan, turun sebagai hujan, dan akhirnya mengalir kembali ke sungai dan laut. siklus ini menjaga ketersediaan air di bumi agar tidak habis meskipun digunakan terus-menerus.","air di bumi terus berputar melalui penguapan, pengembunan, dan hujan. siklus ini menjaga ketersediaan air di bumi agar tetap dapat digunakan makhluk hidup.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
67,bumi dan peristiwa alam,siklus air,kenapa alasan air di bumi tidak habis-habis itu penting?,"air di bumi tidak habis karena selalu mengalami siklus air seperti penguapan, pengembunan, dan hujan.","air laut menguap saat panas, lalu menjadi awan, turun sebagai hujan, dan akhirnya mengalir kembali ke sungai dan laut. siklus ini menjaga ketersediaan air di bumi agar tidak habis meskipun digunakan terus-menerus.","air di bumi terus berputar melalui penguapan, pengembunan, dan hujan. siklus ini menjaga ketersediaan air di bumi agar tetap dapat digunakan makhluk hidup.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
68,bumi dan peristiwa alam,siklus air,apa yang kamu tahu tentang air di bumi tidak habis-habis?,"air di bumi tidak habis karena selalu mengalami siklus air seperti penguapan, pengembunan, dan hujan.","air laut menguap saat panas, lalu menjadi awan, turun sebagai hujan, dan akhirnya mengalir kembali ke sungai dan laut. siklus ini menjaga ketersediaan air di bumi agar tidak habis meskipun digunakan terus-menerus.","air di bumi terus berputar melalui penguapan, pengembunan, dan hujan. siklus ini menjaga ketersediaan air di bumi agar tetap dapat digunakan makhluk hidup.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
